ProjectID,Cycle,State,Status,ProjectType,TransmissionOwner,Zone,MFO,MW_Energy,MW_Capacity,CapacityOrEnergy,Fuel,FuelPrimary,InServiceYear,TransmissionType
AH1-249,TC2,PA,Active,Generation Interconnection,APS,APS,145.0,80.0,80.0,CAPACITY_RESOURCE,Storage,Storage,2028,
AG2-561,TC2,PA,Active,Generation Interconnection,PENELEC,PENLC,20.0,20.0,12.0,CAPACITY_RESOURCE,Solar,Solar,2027,
AH1-734,TC2,PA,Active,Generation Interconnection,APS,APS,1058.4,270.3,268.6,CAPACITY_RESOURCE,Natural Gas,Natural Gas,2030,
AG2-484,TC2,PA,Active,Generation Interconnection,PPL,PL,20.0,0.0,4.6,CAPACITY_RESOURCE,Solar,Solar,2025,
AG2-236,TC2,PA,Active,Generation Interconnection,ATSI,ATSI,60.0,20.0,2.0,CAPACITY_RESOURCE,Solar,Solar,2027,
AG2-481,TC2,PA,Active,Generation Interconnection,PPL,PL,20.0,0.0,4.1,CAPACITY_RESOURCE,Solar,Solar,2025,
AG2-479,TC2,PA,Active,Generation Interconnection,PPL,PL,20.0,0.0,4.1,CAPACITY_RESOURCE,Solar,Solar,2025,
AH1-460,TC2,PA,Active,Generation Interconnection,PENELEC,PENLC,66.0,66.0,39.6,CAPACITY_RESOURCE,Solar,Solar,2028,
AG2-411,TC2,PA,Active,Generation Interconnection,PENELEC,PENLC,63.0,63.0,40.7,CAPACITY_RESOURCE,Solar,Solar,2028,
AG2-420,TC2,PA,Active,Generation Interconnection,PENELEC,PENLC,25.0,25.0,14.0,CAPACITY_RESOURCE,"Solar,Storage,Hybrid",Solar,2028,
AG2-200,TC2,PA,Active,Generation Interconnection,PENELEC,PENLC,17.0,17.0,10.2,CAPACITY_RESOURCE,Solar,Solar,2027,
AH1-545,TC2,PA,Active,Generation Interconnection,APS,APS,200.0,200.0,20.0,CAPACITY_RESOURCE,Solar,Solar,2028,
AG2-476,TC2,PA,EP,Generation Interconnection,ME,METED,20.0,0.0,0.1,CAPACITY_RESOURCE,Solar,Solar,2025,
AG2-477,TC2,PA,EP,Generation Interconnection,ME,METED,20.0,0.0,0.5,CAPACITY_RESOURCE,Solar,Solar,2025,
AG2-478,TC2,PA,EP,Generation Interconnection,ME,METED,20.0,0.0,0.5,CAPACITY_RESOURCE,Solar,Solar,2025,
AH1-535,TC2,TN,Active,Generation Interconnection,AEP,AEP,100.0,100.0,40.0,CAPACITY_RESOURCE,"Solar,Storage,Hybrid",Solar,2028,
AG1-021,TC1,VA,EP,Generation Interconnection,Dominion,DOM,86.0,20.0,10.8,Capacity,Solar,Solar,2023,
AF1-294,TC1,VA,EP,Generation Interconnection,Dominion,DOM,41.0,41.0,22.2,Capacity,Solar,Solar,2022,
AF2-115,TC1,VA,EP,Generation Interconnection,Dominion,DOM,66.0,25.0,13.5,Capacity,Solar,Solar,2022,
AH1-280,TC2,VA,Active,Generation Interconnection,Dominion,DOM,106.0,20.0,12.0,CAPACITY_RESOURCE,Solar,Solar,2028,
AG2-049,TC2,VA,Active,Generation Interconnection,Dominion,DOM,20.0,20.0,20.0,CAPACITY_RESOURCE,Other,Other,2027,
AG2-570,TC2,VA,Active,Generation Interconnection,Dominion,DOM,400.0,400.0,100.0,CAPACITY_RESOURCE,Solar,Solar,2028,
AG2-571,TC2,VA,Active,Generation Interconnection,Dominion,DOM,500.0,100.0,40.0,CAPACITY_RESOURCE,Storage,Storage,2028,
AG2-068,TC2,VA,Active,Generation Interconnection,Dominion,DOM,100.0,100.0,60.0,CAPACITY_RESOURCE,Solar,Solar,2029,
AG2-069,TC2,VA,Active,Generation Interconnection,Dominion,DOM,250.0,150.0,90.0,CAPACITY_RESOURCE,Solar,Solar,2029,
AG2-581,TC2,VA,Active,Generation Interconnection,Dominion,DOM,150.0,150.0,90.0,CAPACITY_RESOURCE,Solar,Solar,2030,
AG1-153,TC1,VA,UC,Generation Interconnection,Dominion,DOM,75.0,75.0,30.0,Capacity,Storage,Storage,2031,
AH1-221,TC2,VA,Active,Generation Interconnection,Dominion,DOM,75.0,0.0,45.0,CAPACITY_RESOURCE,Storage,Storage,2031,
AH1-678,TC2,VA,Active,Generation Interconnection,Dominion,DOM,1525.5,0.0,34.0,CAPACITY_RESOURCE,"Natural Gas,Other,Hybrid",Natural Gas,2025,
AH1-528,TC2,VA,Active,Generation Interconnection,Dominion,DOM,300.8,300.8,180.0,CAPACITY_RESOURCE,Solar,Solar,2028,
AH1-687,TC2,VA,Active,Generation Interconnection,Dominion,DOM,682.0,0.0,51.0,CAPACITY_RESOURCE,Natural Gas,Natural Gas,2029,
AH1-546,TC2,VA,Active,Generation Interconnection,Dominion,DOM,65.0,65.0,39.0,CAPACITY_RESOURCE,Solar,Solar,2028,
